[Header]2015-03-15 18:09:41,839 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2015-03-15 18:09:41,850 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2015-03-15 18:09:41,851 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2015-03-15 18:09:41,851 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2015-03-15 18:09:47,661 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2015-03-15 18:09:47,661 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2015-03-15 18:09:47,661 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2015-03-15 18:09:47,661 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2015-03-15 18:09:50,127 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-btnNoSignUp_Click - Enter
2015-03-15 18:09:50,128 [5] INFO  CDPW.DAL.Users [(null)] - Users-Add_NoUser - Enter
2015-03-15 18:09:51,484 [5] INFO  CDPW.DAL.Users [(null)] - Users-Add_NoUser - Exit
2015-03-15 18:09:51,484 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2015-03-15 18:09:51,485 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
